,id,name,employment_bus,employment_car,education_bus,education_car,healthcare_bus,healthcare_car,total_bus,total_car,employment_ratio,education_ratio,healthcare_ratio,ratio
102,E09000004,Bexley,165.0,2089.0,118.0,1447.0,42.0,554.0,316.0,4090.0,0.052991713288482796,0.0546861357569912,0.051739022150511,0.0521409179828842
103,E09000005,Brent,534.0,1527.0,286.0,1073.0,181.0,387.0,994.0,2987.0,0.1600070280441634,0.1298716454620377,0.1910519738810567,0.1528468931573445
104,E09000006,Bromley,187.0,1967.0,124.0,1355.0,46.0,594.0,353.0,3880.0,0.0775564544455397,0.0897445460918694,0.0729066255382045,0.0784217386588427
105,E09000007,Camden,1013.0,1337.0,616.0,955.0,311.0,331.0,1935.0,2618.0,0.31086632671311454,0.3041529403387265,0.3137469664755278,0.30883123423940856
106,E09000008,Croydon,236.0,1547.0,151.0,968.0,74.0,354.0,455.0,2869.0,0.14615789317626993,0.1589695405165858,0.1898601398601399,0.1561612459115682
107,E09000009,Ealing,464.0,1917.0,221.0,1322.0,171.0,526.0,856.0,3765.0,0.1198122378544712,0.0895837988816182,0.1590042610450774,0.1144784286434025
108,E09000010,Enfield,394.0,1618.0,239.0,1105.0,116.0,491.0,740.0,3192.0,0.0978639168217222,0.088758634985213,0.1018437225636523,0.0948443460419901
109,E09000011,Greenwich,471.0,2293.0,351.0,1501.0,146.0,648.0,968.0,4442.0,0.13497089881657892,0.1515477513751888,0.1493024530567953,0.14223853438067238
110,E09000012,Hackney,746.0,891.0,467.0,766.0,207.0,239.0,1418.0,1843.0,0.23964512363366228,0.2429498355531461,0.22304054054054048,0.23823342538045827
111,E09000013,Hammersmith and Fulham,494.0,770.0,264.0,619.0,185.0,195.0,941.0,1566.0,0.1247089382065776,0.10632935189101729,0.163649938911263,0.12385144638501319
112,E09000014,Haringey,621.0,1191.0,350.0,843.0,190.0,343.0,1149.0,2353.0,0.2157599830604905,0.182797165105473,0.2284284571942626,0.2051584412512182
113,E09000015,Harrow,353.0,1884.0,198.0,1252.0,109.0,530.0,660.0,3666.0,0.1345065022270078,0.11814721030782219,0.1459769231248741,0.1307946006147502
114,E09000016,Havering,224.0,1302.0,153.0,925.0,81.0,316.0,458.0,2543.0,0.0864621012111992,0.0853552284297142,0.1119201403424835,0.0896711415336196
