,id,name,employment_bus,employment_car,education_bus,education_car,healthcare_bus,healthcare_car,total_bus,total_car,employment_ratio,education_ratio,healthcare_ratio,ratio
0,E12000001,North East,267.0,3178.0,192.0,2480.0,75.0,961.0,534.0,6615.0,0.4705882352941176,0.4705882352941176,0.6324786324786325,0.4615384615384615
1,E12000002,North West,293.0,3136.0,217.0,2452.0,108.0,930.0,607.0,6518.0,0.9570552147239264,0.967741935483871,1.9642857142857144,1.0507936507936508
2,E12000003,Yorkshire and The Humber,237.0,3122.0,156.0,2440.0,65.0,947.0,454.0,6509.0,0.6594982078853047,0.4517374517374517,1.0535714285714286,0.6060606060606061
3,E12000004,East Midlands,256.0,3419.0,182.0,2226.0,79.0,979.0,513.0,6623.0,0.2900641025641026,0.2451193058568329,0.4353741496598639,0.2905844155844156
4,E12000005,West Midlands,338.0,3223.0,285.0,2233.0,143.0,834.0,766.0,6044.0,0.6578947368421053,0.3934426229508196,1.1111111111111112,0.5401459854014599
5,E12000006,East of England,164.0,4168.0,93.0,2914.0,49.0,1170.0,300.0,8235.0,0.3208722741433021,0.2676056338028169,0.3333333333333333,0.2964071856287425
6,E12000007,London,1339.0,4465.0,782.0,3042.0,398.0,1219.0,2517.0,8578.0,3.595135775397929,2.313367196604877,5.370967741935484,3.2161730350772357
7,E12000008,South East,146.0,4035.0,81.0,2628.0,36.0,1104.0,239.0,7671.0,0.9506172839506172,0.6981132075471698,1.0,0.8675496688741722
8,E12000009,South West,245.0,3743.0,161.0,2558.0,45.0,1087.0,451.0,7202.0,0.4649122807017544,0.4195121951219512,0.5319148936170213,0.4520833333333333
