,id,name,employment_bus,employment_car,education_bus,education_car,healthcare_bus,healthcare_car,total_bus,total_car,employment_ratio,education_ratio,healthcare_ratio,ratio
0,E12000001,North East,33.0,877.0,27.0,723.0,10.0,238.0,70.0,1837.0,0.0416666666666666,0.0392441860465116,0.0454545454545454,0.0412876137158852
1,E12000002,North West,38.0,1775.0,28.0,1374.0,13.0,531.0,80.0,3684.0,0.0257252326217843,0.0249161475802587,0.0294117647058823,0.0262359063313096
2,E12000003,Yorkshire and The Humber,29.0,1194.0,21.0,945.0,8.0,301.0,57.0,2442.5,0.0272049792139077,0.0256120854314985,0.030590484759869502,0.02728837876614055
3,E12000004,East Midlands,19.0,1034.0,16.0,833.0,5.0,259.0,40.0,2133.0,0.024745269286754,0.0229007633587786,0.0264705882352941,0.0244897959183673
4,E12000005,West Midlands,34.0,1708.5,25.5,1381.5,10.0,513.0,70.0,3605.5,0.025859075816768197,0.0244253464721896,0.028515174277682652,0.02574126911212045
5,E12000006,East of England,12.0,704.0,10.0,552.0,3.0,155.0,25.0,1416.0,0.0126262626262626,0.0126182965299684,0.0136986301369863,0.0126582278481012
6,E12000007,London,165.0,3162.0,102.0,2043.0,51.0,891.0,318.0,6115.0,0.0584,0.0547516621040281,0.0629370629370629,0.058231173380035
7,E12000008,South East,18.0,790.5,11.0,567.0,4.0,151.5,33.0,1505.0,0.017968773740943147,0.0170191468063808,0.018348623853211,0.01787211741269245
8,E12000009,South West,15.0,389.0,10.0,304.0,3.0,79.0,29.0,779.0,0.0396825396825396,0.0357142857142857,0.0434782608695652,0.0385906040268456
